gene	unique	total
ENSG00000157873.17	6509	6509
ENSG00000225931.3	679	1267
ENSG00000228037.1	596	596
ENSG00000157870.14	3576	3576
ENSG00000142606.15	3935	3935
ENSG00000237058.1	343	343
ENSG00000215912.12	8760	8772
ENSG00000283259.1	1465	1465
ENSG00000233234.1	577	577
ENSG00000231630.1	399	399
ENSG00000284745.1	1620	1620
ENSG00000169717.6	1386	1391
ENSG00000177133.10	5795	5795
ENSG00000142611.16	9782	9836
ENSG00000283572.1	31	31
ENSG00000226286.1	439	439
ENSG00000279839.1	2550	2647
ENSG00000272235.1	3431	3431
ENSG00000130762.14	5553	5553
ENSG00000272088.1	352	352
ENSG00000162591.15	7118	7118
ENSG00000207776.1	66	66
ENSG00000238260.1	592	592
ENSG00000158109.14	2353	2412
ENSG00000116213.15	7646	7730
ENSG00000078900.14	6845	6845
ENSG00000227589.1	722	722
ENSG00000235131.1	321	321
ENSG00000227372.11	7136	7286
ENSG00000276189.1	131	131
ENSG00000162592.9	4161	4336
ENSG00000235169.7	938	938
ENSG00000130764.9	4384	4512
ENSG00000266075.2	262	267
ENSG00000272153.1	501	501
ENSG00000116198.12	7474	7893
ENSG00000169598.15	3740	4087
ENSG00000198912.10	3581	3715
ENSG00000236423.5	3863	4056
ENSG00000233304.6	3861	3863
ENSG00000226374.2	1874	1874
ENSG00000284668.1	1801	1823
ENSG00000284703.1	4248	4776
ENSG00000229280.1	313	342
ENSG00000235054.3	2177	2180
ENSG00000284694.1	3371	3372
ENSG00000227169.2	326	326
ENSG00000232596.2	1990	1990
ENSG00000196581.10	12309	12349
ENSG00000284739.1	434	434
ENSG00000284674.1	1550	1550
ENSG00000231510.1	376	418
ENSG00000284616.1	1195	1195
ENSG00000284692.1	2245	2314
ENSG00000284666.1	579	579
ENSG00000260972.1	1667	1667
ENSG00000283356.1	105	105
ENSG00000236948.2	1018	1064
ENSG00000264341.1	43	43
ENSG00000264101.1	40	40
ENSG00000131697.17	13328	13328
ENSG00000069424.14	9666	9666
ENSG00000116254.17	9956	9995
ENSG00000116251.9	4589	4916
ENSG00000226944.1	348	348
ENSG00000158286.12	6461	6777
ENSG00000116237.15	4742	4964
ENSG00000225077.2	1579	1652
ENSG00000173673.7	667	667
ENSG00000158292.6	4052	4052
ENSG00000097021.19	4021	4143
ENSG00000271746.1	807	807
ENSG00000069812.11	5014	5443
ENSG00000187017.15	6445	7094
ENSG00000265392.1	33	33
ENSG00000231868.1	245	321
ENSG00000215788.9	4068	4317
ENSG00000171680.21	6999	7124
ENSG00000162408.10	6522	7291
ENSG00000253022.1	81	81
ENSG00000229519.2	362	371
ENSG00000173662.20	2949	2949
ENSG00000204859.12	4713	4713
ENSG00000162413.16	6771	6919
ENSG00000116273.5	3676	3676
ENSG00000041988.15	4030	4207
ENSG00000007923.15	5202	5210
ENSG00000228750.6	2043	2252
ENSG00000284744.1	803	957
ENSG00000237436.1	385	385
ENSG00000171735.18	10245	10245
ENSG00000227950.1	228	256
ENSG00000237365.1	319	319
ENSG00000207056.1	135	135
ENSG00000237402.1	335	335
ENSG00000237728.2	713	713
ENSG00000225126.1	331	331
ENSG00000270171.1	1653	1691
ENSG00000270035.1	540	540
ENSG00000269978.1	237	237
ENSG00000049245.12	2671	2728
ENSG00000269925.1	363	363
ENSG00000049246.14	8144	8144
ENSG00000236266.1	800	800
ENSG00000049247.13	1790	1790
ENSG00000049249.8	5921	6330
ENSG00000270330.1	325	325
ENSG00000116288.12	2270	2497
ENSG00000200344.1	69	73
ENSG00000284747.1	3785	4111
ENSG00000284716.1	951	1013
ENSG00000116285.12	4243	4243
ENSG00000238290.1	1986	2014
ENSG00000232848.1	647	770
ENSG00000229305.1	1044	1045
ENSG00000227634.2	949	949
ENSG00000200975.1	134	134
ENSG00000233645.1	430	447
ENSG00000251977.1	77	77
ENSG00000162426.14	2855	2855
ENSG00000252254.1	83	83
ENSG00000142599.17	11518	11685
ENSG00000232912.5	671	671
ENSG00000221083.1	95	95
ENSG00000270282.1	339	339
ENSG00000234619.1	232	628
ENSG00000224315.2	289	673
ENSG00000222511.2	73	73
ENSG00000226545.1	381	385
ENSG00000228423.2	323	323
ENSG00000229716.2	320	339
ENSG00000074800.13	3673	3925
ENSG00000274258.1	59	59
ENSG00000236269.1	592	714
ENSG00000230679.1	426	426
ENSG00000201725.1	74	77
ENSG00000238249.2	553	713
ENSG00000232208.2	230	322
ENSG00000232663.2	125	133
ENSG00000131686.14	2509	2714
ENSG00000265141.2	234	269
ENSG00000197241.3	1509	1509
ENSG00000142583.17	6571	6780
ENSG00000252404.1	140	154
ENSG00000180758.11	4922	5369
ENSG00000228526.6	4331	4537
ENSG00000284357.1	0	80
ENSG00000234546.3	1630	1630
ENSG00000281937.1	1734	1734
ENSG00000049239.12	8993	9318
ENSG00000171621.13	3370	3370
ENSG00000284652.1	1735	1735
ENSG00000284693.1	2440	2591
ENSG00000252956.1	80	80
ENSG00000235263.1	678	678
ENSG00000171612.6	2630	3824
ENSG00000231181.1	453	529
ENSG00000188807.12	6987	6987
ENSG00000171608.15	6208	6426
ENSG00000179840.5	1792	1793
ENSG00000233268.3	391	391
ENSG00000231789.2	893	909
ENSG00000171603.16	5612	5612
ENSG00000271264.1	211	216
ENSG00000280113.2	1838	1953
ENSG00000178585.14	3333	3333
ENSG00000223989.1	394	394
ENSG00000162441.11	2721	2757
ENSG00000228150.1	386	410
ENSG00000173614.13	3473	4589
ENSG00000202415.1	275	289
ENSG00000283611.1	382	382
ENSG00000265521.1	48	48
ENSG00000241326.1	25	406
ENSG00000162444.11	776	859
ENSG00000130939.18	8962	9198
ENSG00000224340.1	271	307
ENSG00000233623.2	649	650
ENSG00000201746.1	75	77
ENSG00000054523.17	17173	17877
ENSG00000264881.1	34	56
ENSG00000199562.1	0	77
ENSG00000264501.2	0	263
ENSG00000284735.1	1838	2338
ENSG00000284642.1	1340	1502
ENSG00000142657.20	2753	3042
ENSG00000271989.1	767	767
ENSG00000251503.8	704	2297
ENSG00000175279.21	665	1760
ENSG00000241563.3	602	1100
ENSG00000160049.11	5754	6643
ENSG00000203469.2	328	437
ENSG00000142655.12	2991	2991
ENSG00000243267.3	242	250
ENSG00000130940.14	11302	11342
ENSG00000272078.1	7893	7893
ENSG00000225158.2	208	208
ENSG00000175262.14	3621	3685
ENSG00000215785.2	464	464
ENSG00000120948.16	4616	6709
ENSG00000277726.4	107	2285
ENSG00000009724.16	4216	4275
ENSG00000271895.2	413	851
ENSG00000116649.9	1935	1942
ENSG00000171824.13	6046	6214
ENSG00000226849.1	2652	2652
ENSG00000230337.1	532	532
ENSG00000198793.12	12137	12137
ENSG00000225602.5	733	733
ENSG00000253086.1	52	73
ENSG00000171819.4	2236	2236
ENSG00000207451.1	77	77
ENSG00000238173.1	102	120
ENSG00000120942.13	4890	5106
ENSG00000238199.1	361	407
ENSG00000284646.1	712	712
ENSG00000224338.2	535	535
ENSG00000204624.7	6111	6111
ENSG00000235643.1	1102	1255
ENSG00000284708.1	1796	2053
ENSG00000116661.10	3309	3376
ENSG00000132879.13	3409	3694
ENSG00000116663.10	1502	1808
ENSG00000116670.14	3451	3451
ENSG00000162490.6	6655	7316
ENSG00000177674.15	2628	2628
ENSG00000215910.7	6461	6611
ENSG00000177553.6	1709	1838
ENSG00000177000.11	11986	12288
ENSG00000011021.21	6672	7014
ENSG00000242349.5	923	1424
ENSG00000276470.1	0	143
ENSG00000278852.1	0	119
ENSG00000175206.10	1119	1119
ENSG00000275915.1	0	78
ENSG00000120937.8	664	664
ENSG00000224904.1	2436	2607
ENSG00000199347.1	55	90
ENSG00000201801.1	73	90
ENSG00000116685.15	2100	3272
ENSG00000083444.16	5171	5393
ENSG00000116688.16	5061	5061
ENSG00000270914.1	42	63
ENSG00000116691.10	2899	2899
ENSG00000202461.1	83	83
ENSG00000276869.1	35	35
ENSG00000243539.3	245	245
ENSG00000120949.14	3790	3790
ENSG00000201135.1	72	74
ENSG00000227875.2	208	225
ENSG00000283789.1	60	66
ENSG00000028137.18	3636	3792
ENSG00000263676.1	31	31
ENSG00000225196.2	269	286
ENSG00000252969.1	94	94
ENSG00000048707.13	20124	20145
ENSG00000239149.1	0	122
ENSG00000229484.1	408	408
ENSG00000162496.8	3027	3027
ENSG00000221340.1	71	71
ENSG00000276830.1	37	37
ENSG00000272482.1	315	315
ENSG00000204518.2	1545	1545
ENSG00000226166.2	68	82
ENSG00000188984.11	4049	4049
ENSG00000157330.9	3762	3963
ENSG00000116726.4	1559	1756
ENSG00000116721.9	769	2407
ENSG00000228338.1	117	348
ENSG00000239810.3	422	1815
ENSG00000231103.2	550	1387
ENSG00000179172.9	276	1078
ENSG00000120952.4	697	1612
ENSG00000243073.3	343	1798
ENSG00000187545.5	163	1495
ENSG00000204510.5	124	1628
ENSG00000207434.1	0	77
ENSG00000234064.1	98	1109
ENSG00000232423.6	44	1696
ENSG00000274178.2	170	1420
ENSG00000274764.5	167	1833
ENSG00000277058.2	157	1118
ENSG00000229571.7	25	1866
ENSG00000277862.1	0	1417
ENSG00000236179.1	194	861
ENSG00000275774.2	362	1118
ENSG00000229978.1	0	1422
ENSG00000233336.1	37	354
ENSG00000280267.4	0	1833
ENSG00000179412.10	31	852
ENSG00000204505.4	43	1833
ENSG00000279169.2	244	2268
ENSG00000279804.2	1583	2037
ENSG00000250894.1	701	1341
ENSG00000270601.4	58	1690
ENSG00000231219.1	73	1038
ENSG00000207511.1	0	77
ENSG00000182330.10	406	1934
ENSG00000237700.2	148	1488
ENSG00000204501.7	213	1835
ENSG00000228229.2	78	354
ENSG00000204481.7	388	2269
ENSG00000204480.7	756	1203
ENSG00000204479.4	996	1548
ENSG00000204478.9	1355	1567
ENSG00000162494.5	2175	2179
ENSG00000259961.1	447	447
ENSG00000215909.3	326	341
ENSG00000162493.16	3729	3816
ENSG00000222952.1	71	71
ENSG00000237445.2	321	349
ENSG00000253085.1	100	100
ENSG00000116731.22	11047	11076
ENSG00000189337.16	13793	13856
ENSG00000252151.1	73	73
ENSG00000231606.1	252	252
ENSG00000234593.2	734	734
ENSG00000235829.1	285	296
ENSG00000175147.11	7066	7086
ENSG00000171729.13	2288	2288
ENSG00000204464.7	529	529
ENSG00000215720.4	680	680
ENSG00000278480.1	936	936
ENSG00000142621.19	13263	13418
ENSG00000233485.1	2979	3075
ENSG00000236045.1	697	697
ENSG00000228140.1	4818	5148
ENSG00000142634.12	2529	2529
ENSG00000162438.11	3150	3514
ENSG00000142615.7	822	1486
ENSG00000215704.9	882	1447
ENSG00000132906.17	5325	5399
ENSG00000116138.12	8616	8768
ENSG00000251866.1	110	110
ENSG00000272510.1	316	316
ENSG00000116771.5	2209	2470
ENSG00000237301.1	2628	2815
ENSG00000235084.3	150	417
ENSG00000252417.1	31	38
ENSG00000236500.1	195	195
ENSG00000197312.11	10065	12198
ENSG00000215695.1	0	1824
ENSG00000271742.1	226	226
ENSG00000116786.11	4177	4177
ENSG00000237938.5	1560	1560
ENSG00000162461.7	2906	3163
ENSG00000224459.1	608	609
ENSG00000162460.6	1520	1520
ENSG00000162458.12	4249	4881
ENSG00000224321.1	235	460
ENSG00000233954.6	1757	2150
ENSG00000178715.8	295	408
ENSG00000179743.4	2318	2443
ENSG00000065526.10	13289	13289
ENSG00000270620.1	169	181
ENSG00000116809.11	4447	4447
ENSG00000234607.2	516	533
ENSG00000231353.1	228	230
ENSG00000275503.1	200	206
ENSG00000224966.4	925	932
ENSG00000183888.4	2874	3009
ENSG00000233078.1	436	436
ENSG00000173641.17	3983	3983
ENSG00000186510.11	2621	3586
ENSG00000232456.1	259	674
ENSG00000184908.17	2045	3010
ENSG00000185519.8	1284	1699
ENSG00000142627.12	4122	4154
ENSG00000227959.1	874	874
ENSG00000224621.1	514	514
ENSG00000234166.1	409	409
ENSG00000142632.16	3803	3803
ENSG00000237276.8	1929	1929
ENSG00000132881.11	1542	1542
ENSG00000233929.1	99	156
ENSG00000037637.10	8812	8946
ENSG00000055070.16	4829	4878
ENSG00000226457.1	286	351
ENSG00000187144.11	4535	4666
ENSG00000157191.19	5718	5804
ENSG00000226029.1	3079	3215
ENSG00000080947.14	6054	7062
ENSG00000206652.1	0	134
ENSG00000261135.1	952	1080
ENSG00000224174.2	99	297
ENSG00000233421.4	750	2038
ENSG00000277344.1	4	114
ENSG00000268991.2	408	480
ENSG00000225710.1	69	852
ENSG00000219481.10	7875	11290
ENSG00000271732.1	308	309
ENSG00000215908.10	4220	5757
ENSG00000283773.1	0	136
ENSG00000186301.8	647	2261
ENSG00000282143.1	0	787
ENSG00000207513.1	0	134
ENSG00000237847.2	0	480
ENSG00000280114.1	575	1321
ENSG00000236698.1	62	405
ENSG00000268869.5	2371	3175
ENSG00000279151.1	304	376
ENSG00000279132.2	0	480
ENSG00000282740.1	2	789
ENSG00000058453.16	7417	9128
ENSG00000227684.2	243	790
ENSG00000207389.1	0	134
ENSG00000186715.10	3519	5264
ENSG00000223643.6	454	834
ENSG00000230239.1	178	852
ENSG00000263811.1	43	43
ENSG00000228549.3	1734	3041
ENSG00000277234.1	0	114
ENSG00000238142.1	249	506
ENSG00000235241.1	441	478
ENSG00000207005.1	0	134
ENSG00000272426.1	408	408
ENSG00000117122.13	2924	2999
ENSG00000226526.1	606	606
ENSG00000159363.17	5444	5550
ENSG00000117118.9	2454	2455
ENSG00000117115.12	5887	5977
ENSG00000204362.6	4702	4702
ENSG00000282843.1	1198	1198
ENSG00000142623.9	4897	4897
ENSG00000142619.4	3159	3159
ENSG00000266634.1	57	57
ENSG00000159339.13	2836	2934
ENSG00000276747.1	2366	2366
ENSG00000227751.1	281	281
ENSG00000179051.13	3766	4120
ENSG00000074964.16	7862	7862
ENSG00000236648.1	580	580
ENSG00000117148.7	1833	1833
ENSG00000284653.1	1983	1983
ENSG00000261781.1	2436	2436
ENSG00000117154.11	3042	3052
ENSG00000280222.1	6443	6443
ENSG00000230035.2	400	400
ENSG00000225387.1	461	461
ENSG00000179023.8	5082	5115
ENSG00000235282.3	223	236
ENSG00000225478.2	193	193
ENSG00000009709.11	6308	6311
ENSG00000179002.5	1093	2512
ENSG00000255275.3	580	4339
ENSG00000159423.16	2284	3742
ENSG00000265606.1	44	44
ENSG00000221662.1	48	48
ENSG00000169991.10	5319	6213
ENSG00000272084.1	2966	3328
ENSG00000127481.14	24348	24900
ENSG00000230424.1	477	477
ENSG00000127463.14	9267	9783
ENSG00000053372.4	2462	2818
ENSG00000211454.13	2100	2796
ENSG00000162482.4	1096	1680
ENSG00000270728.1	495	495
ENSG00000053371.12	1596	1830
ENSG00000200403.1	22	77
ENSG00000040487.12	2608	2735
ENSG00000077549.17	3312	3312
ENSG00000240490.3	220	258
ENSG00000201609.1	111	111
ENSG00000235185.1	177	177
ENSG00000173436.13	4414	5358
ENSG00000270136.5	325	2577
ENSG00000226396.1	329	425
ENSG00000158747.13	1808	3418
ENSG00000158748.3	1954	1954
ENSG00000162542.13	4132	4132
ENSG00000178828.6	1220	1220
ENSG00000235434.1	417	417
ENSG00000169914.5	6547	6737
ENSG00000188784.4	752	755
ENSG00000242688.3	270	271
ENSG00000188257.10	1784	1789
ENSG00000127472.10	2790	2825
ENSG00000117215.14	2564	2672
ENSG00000158786.4	6428	6431
ENSG00000227066.1	2507	2607
ENSG00000187980.6	3257	3321
ENSG00000225986.1	480	480
ENSG00000162543.5	5541	5541
ENSG00000228105.1	450	450
ENSG00000284710.1	1608	1608
ENSG00000158816.15	6278	6535
ENSG00000226664.1	199	199
ENSG00000236963.6	3466	3508
ENSG00000226487.1	346	346
ENSG00000284641.1	1310	1310
ENSG00000284743.1	644	644
ENSG00000162545.5	2569	2580
ENSG00000090432.6	2408	2408
ENSG00000215520.3	719	733
ENSG00000183114.7	2542	2542
ENSG00000158825.5	960	960
ENSG00000158828.7	4702	4831
ENSG00000284005.1	0	80
ENSG00000117242.7	3911	4410
ENSG00000244038.9	2320	2714
ENSG00000117245.12	4500	4526
ENSG00000235432.1	449	449
ENSG00000189410.11	4502	4502
ENSG00000233069.1	269	269
ENSG00000127483.17	7295	7665
ENSG00000075151.20	9750	9778
ENSG00000251914.1	32	32
ENSG00000221808.1	89	89
ENSG00000233072.1	327	355
ENSG00000236073.2	84	85
ENSG00000235112.1	266	266
ENSG00000117298.14	7104	7235
ENSG00000236936.1	693	693
ENSG00000231105.1	2449	2449
ENSG00000236216.5	255	346
ENSG00000228823.1	342	619
ENSG00000236009.1	333	759
ENSG00000227001.3	245	631
ENSG00000187952.9	366	1204
ENSG00000186543.7	753	800
ENSG00000142794.18	5145	6986
ENSG00000176378.8	269	297
ENSG00000162551.13	3056	3056
ENSG00000233431.1	791	791
ENSG00000076864.19	5983	5983
ENSG00000090686.15	9667	9687
ENSG00000231978.2	277	277
ENSG00000187942.11	4514	4514
ENSG00000142798.17	17634	17780
ENSG00000232037.3	172	453
ENSG00000283234.1	1132	1132
ENSG00000219073.7	1165	1537
ENSG00000273610.1	55	267
ENSG00000201919.1	14	74
ENSG00000142789.19	883	1222
ENSG00000278124.1	55	267
ENSG00000201273.1	14	74
ENSG00000228397.2	1079	1096
ENSG00000218510.7	3723	4013
ENSG00000070831.15	3172	3649
ENSG00000230068.2	567	662
ENSG00000271428.1	458	458
ENSG00000271840.1	718	718
ENSG00000162552.14	4469	4486
ENSG00000266564.1	32	32
ENSG00000234397.3	361	462
ENSG00000279625.1	1804	1823
ENSG00000184677.16	8988	9021
ENSG00000237200.1	243	243
ENSG00000070886.11	5327	5328
ENSG00000276835.2	79	79
ENSG00000173372.16	1238	1238
ENSG00000159189.11	1361	1361
ENSG00000173369.15	1597	1597
ENSG00000133216.16	12474	12594
ENSG00000265422.1	52	52
ENSG00000225952.1	450	450
ENSG00000264014.1	38	38
ENSG00000215906.8	1641	1641
ENSG00000227868.5	653	653
ENSG00000004487.15	5570	5570
ENSG00000240553.1	405	636
ENSG00000263793.1	38	38
ENSG00000266802.1	45	47
ENSG00000169641.13	9396	9683
ENSG00000229010.1	788	788
ENSG00000206935.1	77	77
ENSG00000252578.1	69	71
ENSG00000179546.4	2741	2805
ENSG00000215381.3	343	430
ENSG00000261326.2	5378	5438
ENSG00000284726.1	416	574
ENSG00000125944.19	8526	8805
ENSG00000125945.14	4351	4360
ENSG00000249087.6	2675	2738
ENSG00000201405.1	0	63
ENSG00000271420.1	554	620
ENSG00000204219.9	3480	3480
ENSG00000232482.2	396	396
ENSG00000088280.18	5144	5182
ENSG00000007968.6	5298	5427
ENSG00000235052.1	426	426
ENSG00000117318.8	1764	1764
ENSG00000197880.8	2051	2169
ENSG00000229239.2	1156	1156
ENSG00000142676.12	1892	1952
ENSG00000011007.12	5357	5357
ENSG00000236810.5	1317	1317
ENSG00000057757.9	2176	2184
ENSG00000011009.10	1951	2347
ENSG00000117308.14	4229	4262
ENSG00000117305.14	5536	5704
ENSG00000179163.11	2002	2017
ENSG00000188822.7	4758	5224
ENSG00000229106.1	963	1237
ENSG00000232557.3	179	180
ENSG00000264926.1	48	48
ENSG00000230228.2	259	338
ENSG00000189266.11	2285	2563
ENSG00000188529.14	10010	10507
ENSG00000215905.4	257	298
ENSG00000225315.2	420	424
ENSG00000142661.18	9200	9295
ENSG00000230703.1	409	431
ENSG00000142677.3	2768	2768
ENSG00000185436.11	4716	4948
ENSG00000230023.2	1800	1819
ENSG00000232298.2	826	826
ENSG00000158055.15	3995	3995
ENSG00000001460.17	8399	8662
ENSG00000001461.16	9312	9454
ENSG00000117602.11	7023	7261
ENSG00000264443.1	1396	1415
ENSG00000184454.6	3882	4119
ENSG00000227312.2	318	318
ENSG00000239106.1	73	73
ENSG00000133226.16	6951	8532
ENSG00000284699.1	853	856
ENSG00000169504.14	4208	4516
ENSG00000238482.1	77	77
ENSG00000020633.18	4503	4518
ENSG00000278034.1	42	42
ENSG00000229162.1	790	790
ENSG00000261025.1	2413	2413
ENSG00000264371.1	54	54
ENSG00000233755.1	830	830
ENSG00000233419.3	321	372
ENSG00000231953.2	848	958
ENSG00000117614.9	3194	3366
ENSG00000284602.1	1815	2160
ENSG00000284657.1	730	730
ENSG00000117616.17	6214	7013
ENSG00000272432.1	455	455
ENSG00000261349.1	116	429
ENSG00000187010.19	2379	3465
ENSG00000224183.1	42	450
ENSG00000259984.1	29	429
ENSG00000183726.10	3468	3468
ENSG00000188672.17	1735	2598
ENSG00000238084.4	1	448
ENSG00000204178.9	4007	4007
ENSG00000157978.11	5385	5444
ENSG00000225643.1	453	453
ENSG00000117643.14	8792	9102
ENSG00000233478.1	2148	2194
ENSG00000162430.16	3977	4486
ENSG00000255054.3	56	761
ENSG00000228172.5	2780	2803
ENSG00000117640.17	5660	6295
ENSG00000272478.1	0	192
ENSG00000127423.10	2119	2401
ENSG00000236528.1	819	819
ENSG00000182749.5	3118	3267
ENSG00000207302.1	72	80
ENSG00000117632.22	5908	6248
ENSG00000229786.1	217	221
ENSG00000223624.1	107	110
ENSG00000283938.1	26	63
ENSG00000158006.13	3807	3932
ENSG00000207237.1	61	74
ENSG00000252190.1	95	95
ENSG00000252691.1	54	54
ENSG00000158008.9	4585	4585
ENSG00000158014.14	3355	3495
ENSG00000284309.1	911	911
ENSG00000158022.6	2524	2543
ENSG00000175087.9	4533	4533
ENSG00000197245.5	2442	2828
ENSG00000282872.1	731	731
ENSG00000236782.6	1742	1742
ENSG00000142684.8	766	766
ENSG00000142675.17	4221	4234
ENSG00000188782.8	2053	2053
ENSG00000236155.6	3095	3243
ENSG00000278572.1	591	869
ENSG00000130695.14	5471	5471
ENSG00000270733.1	306	328
ENSG00000142669.14	1768	1784
ENSG00000158062.20	4923	4923
ENSG00000169442.8	931	931
ENSG00000176092.14	6070	6070
ENSG00000225854.2	284	316
ENSG00000176083.17	2508	2552
ENSG00000131914.10	3661	4004
ENSG00000117682.16	5766	5878
ENSG00000223583.1	311	505
ENSG00000225891.1	499	499
ENSG00000198830.10	2011	2674
ENSG00000224129.1	741	867
ENSG00000117676.13	6126	6126
ENSG00000238705.1	22	22
ENSG00000243905.3	227	274
ENSG00000252802.1	53	72
ENSG00000252429.2	34	34
ENSG00000229247.2	3	208
ENSG00000238316.1	74	74
ENSG00000235069.2	0	205
ENSG00000260063.1	1970	1970
ENSG00000117713.18	15692	16206
ENSG00000060642.10	3432	3432
ENSG00000241188.3	237	261
ENSG00000204160.11	5489	5489
ENSG00000175793.11	1272	1287
ENSG00000226698.1	262	276
ENSG00000142751.14	4542	4962
ENSG00000198746.12	2216	2216
ENSG00000090273.13	2451	2851
ENSG00000131910.4	1126	1126
